track_name,track_id,artist_name,album_name,release_date,artist_genre,popularity,Duration (ms),Acousticness,Danceability,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence
All Of The Girls You Loved Before,4P9Q0GojKVXpRTJCaL3kyy,Taylor Swift,All Of The Girls You Loved Before,2019-08-23,['pop'],84,221407,0.707,0.718,0.467,6.92e-05,2,0.126,-9.66,1,0.0398,95.96,3,0.396
Lose You To Love Me,4l0Mvzj72xxOpRrp6h8nHi,Selena Gomez,Rare,2020-01-10,"['pop', 'post-teen pop']",83,206458,0.556,0.488,0.343,0.0,4,0.21,-8.985,1,0.0436,102.819,4,0.0978
Train Wreck,55Am8neGJkdj2ADaM3aw5H,James Arthur,Back from the Edge,2016-10-28,"['pop', 'talent show', 'uk pop']",83,208826,0.701,0.311,0.485,0.0,6,0.0726,-5.726,0,0.0365,77.355,4,0.225
the grudge,3Nl5OkkmS5DaBZvuYofpAt,Olivia Rodrigo,GUTS,2023-09-08,['pop'],83,189386,0.916,0.548,0.307,0.0,10,0.0828,-9.214,1,0.0781,127.923,4,0.317
Black Friday,1XTY6rA7XQosc0ynkkE9kN,Tom Odell,Black Friday,2023-09-22,['chill pop'],83,221510,0.931,0.48,0.199,0.0563,6,0.0978,-12.398,1,0.0329,165.476,4,0.201
exile (feat. Bon Iver),4pvb0WLRcMtbPGmtejJJ6y,"Taylor Swift, Bon Iver",folklore,2020-07-24,['pop'],83,285634,0.778,0.298,0.38,5.62e-05,6,0.11,-8.426,1,0.0287,75.602,4,0.152
Good Days,3YJJjQPAbDT7mGpX3WtQ9A,SZA,Good Days,2020-12-25,"['pop', 'r&b', 'rap']",83,279204,0.499,0.436,0.655,8.1e-06,1,0.688,-8.37,0,0.0583,121.002,4,0.412
Stuck with U (with Justin Bieber),4HBZA5flZLE435QTztThqH,"Ariana Grande, Justin Bieber",Stuck with U,2020-05-08,['pop'],83,228482,0.223,0.597,0.45,0.0,8,0.382,-6.658,1,0.0418,178.765,3,0.537
From The Start,1Ukxccao1BlWrPhYkcXbwZ,Laufey,From The Start,2023-05-11,['gen z singer-songwriter'],83,169573,0.877,0.664,0.405,0.000765,1,0.11,-7.413,1,0.08,81.89,3,0.743
Matilda,6uvh0In7u1Xn4HgxOfAn8O,Harry Styles,Harry's House,2022-05-20,['pop'],82,245964,0.896,0.507,0.294,1.97e-05,2,0.0966,-10.0,1,0.04,114.199,4,0.386
What A Time (feat. Niall Horan),5WtfUKzXircvW8l5aaVZWT,"Julia Michaels, Niall Horan",Inner Monologue Part 1,2019-01-24,['pop'],82,173306,0.662,0.516,0.467,0.0,0,0.0853,-6.184,1,0.0302,132.861,4,0.386
Lights Are On,4IhTXiZLKATmwhMZIb1GQN,Tom Rosenthal,Z-Sides,2018-10-26,['british singer-songwriter'],82,193749,0.981,0.44,0.04,0.465,3,0.111,-16.887,1,0.0322,135.965,4,0.249
You Right,0k4d5YPDr1r7FX77VdqWez,"Doja Cat, The Weeknd",Planet Her,2021-06-25,"['dance pop', 'pop']",82,186173,0.0164,0.828,0.621,0.00233,8,0.0845,-6.414,1,0.0565,128.986,4,0.436
love nwantiti (ah ah ah),2Xr1dTzJee307rmrkt8c0g,CKay,CKay The First,2019-08-30,"['afro r&b', 'afrobeats']",81,145800,0.365,0.727,0.739,0.00137,8,0.161,-3.805,1,0.0411,93.005,4,0.533
Calling My Phone,3J8EOeKLTLXORtWPpOU5bE,"Lil Tjay, 6LACK",Destined 2 Win,2021-04-02,"['brooklyn drill', 'melodic rap', 'nyc rap', 'rap']",81,205458,0.451,0.907,0.393,1.35e-06,4,0.135,-7.636,0,0.0539,104.949,4,0.202
